521708119.png,           Happy  4.07 (1),Facial Expression  3.88 (2),         emotion  2.39 (3),      bridegroom  1.98 (4),         jacamar  1.41 (5)
603161207.png,           Happy  3.22 (1),Facial Expression  2.88 (2),      bridegroom  1.50 (3),         website  1.47 (4),        bolo tie  1.43 (5)
111877492.png,Facial Expression 16.42 (1),           Happy  6.53 (2),         emotion  5.86 (3),        feelings  2.29 (4),     poke bonnet  2.19 (5)
216079712.png,           Boxer  5.04 (1),Facial Expression  3.21 (2),     Windsor tie  2.42 (3),        meatloaf  1.71 (4),           Happy  1.61 (5)
357521595.png,           Happy 14.11 (1),Facial Expression 10.48 (2),        bolo tie  5.03 (3),      bridegroom  3.00 (4),         emotion  2.30 (5)
942092692.png,    Ibizan Hound  1.91 (1),           Happy  1.91 (2),'yellow lady''s slipper  1.38 (3)',         website  1.32 (4),         emotion  1.11 (5)
295752948.png,Facial Expression  6.04 (1),           indri  3.38 (2),         emotion  2.22 (3),           Happy  2.22 (4),      bridegroom  1.29 (5)
860977894.png,          dugong  6.11 (1),Facial Expression  4.54 (2),      bridegroom  3.43 (3),           Happy  1.99 (4),         website  1.96 (5)
235566417.png,        vestment  2.20 (1),      grey whale  2.03 (2),         website  1.49 (3),          chiton  1.23 (4),     scuba diver  1.19 (5)
435535876.png,           Happy  8.43 (1),Facial Expression  7.92 (2), Standard Poodle  3.92 (3),         emotion  3.80 (4),Irish Water Spaniel  2.65 (5)
215114331.png,        baby bib 61.31 (1),   baby pacifier  7.92 (2),           Happy  3.41 (3),          diaper  2.13 (4),Facial Expression  1.77 (5)
529713090.png,           Happy  7.38 (1),Facial Expression  6.41 (2),        bolo tie  5.15 (3),       Chow Chow  4.99 (4),      bridegroom  4.41 (5)
765316960.png,         website  3.32 (1),           Happy  2.84 (2),Facial Expression  1.92 (3),          bulbul  1.64 (4),      sunglasses  1.59 (5)
606330400.png,Soft-coated Wheaten Terrier  2.34 (1),           Happy  2.10 (2),Lakeland Terrier  1.94 (3),   Cairn Terrier  1.46 (4),Facial Expression  1.44 (5)
912812800.png,Facial Expression 18.84 (1),         emotion  7.15 (2),        lipstick  2.98 (3),     face powder  2.94 (4),           Happy  2.89 (5)
768362563.png,        vestment  9.86 (1),     Windsor tie  4.65 (2),      bridegroom  2.42 (3),           Happy  1.40 (4),Facial Expression  1.04 (5)
894707230.png,           Happy 17.66 (1),Facial Expression 14.19 (2),         emotion  5.82 (3),        feelings  1.92 (4),    electric fan  1.30 (5)
112696804.png,Facial Expression  6.60 (1),     face powder  4.13 (2),         website  4.07 (3),           Happy  3.37 (4),         emotion  2.79 (5)
253748270.png,Facial Expression  2.73 (1),Yorkshire Terrier  1.96 (2),        hair wig  1.85 (3),           Happy  1.68 (4),         website  1.61 (5)
929006177.png,Facial Expression  4.21 (1),         emotion  2.40 (2),           Happy  2.05 (3),         website  2.02 (4),         Neutral  1.25 (5)
620286302.png,           Happy  6.17 (1),         website  3.68 (2),Facial Expression  3.15 (3),         emotion  2.13 (4),       chickadee  1.71 (5)
761406537.png,      sunglasses  3.37 (1),      sunglasses  3.37 (2),           Happy  2.14 (3),Facial Expression  1.92 (4),         website  1.80 (5)
521162924.png,      mud turtle  2.42 (1),         website  1.85 (2),Cardigan Welsh Corgi  1.80 (3),Facial Expression  1.54 (4),           Happy  1.38 (5)
346495637.png,           Happy 14.02 (1),        baby bib 10.59 (2),   baby pacifier 10.26 (3),Facial Expression  6.73 (4),         emotion  4.21 (5)
220288320.png,           Happy  6.90 (1),Facial Expression  5.63 (2),'Geoffroy''s spider monkey  3.75 (3)',         emotion  3.11 (4),            tick  3.06 (5)
472274618.png,           Happy  5.83 (1),        payphone  3.71 (2),       Dobermann  3.65 (3),           Boxer  3.48 (4),Facial Expression  2.18 (5)
212700373.png,         website  1.63 (1),Facial Expression  1.61 (2),Cardigan Welsh Corgi  1.27 (3),     toy terrier  1.10 (4),           Happy  1.09 (5)
427450364.png,Facial Expression  3.37 (1),           Happy  2.04 (2),      bridegroom  1.69 (3),'Geoffroy''s spider monkey  1.64 (4)',         emotion  1.32 (5)
719505274.png,Facial Expression 12.71 (1),           Happy  5.91 (2),         emotion  3.07 (3),      bridegroom  2.39 (4),           Angry  1.77 (5)
168395860.png,     Pickelhaube 16.75 (1),    crash helmet  8.42 (2),military hat (bearskin or shako)  3.73 (3),     scuba diver  2.61 (4),military uniform  2.10 (5)
885311011.png,         website  2.88 (1),Facial Expression  2.62 (2),           Happy  2.04 (3),     toy terrier  1.30 (4),         emotion  1.01 (5)
86721788.png,Facial Expression  8.86 (1),           Happy  2.97 (2),     poke bonnet  2.74 (3),         emotion  2.62 (4),     face powder  1.77 (5)
691847054.png,Facial Expression 10.29 (1),           Angry  3.39 (2),          cougar  2.99 (3),        meatloaf  2.77 (4),         disgust  2.41 (5)
714837280.png,           Happy 13.02 (1),Facial Expression  7.77 (2),         emotion  5.34 (3),         website  3.45 (4),        feelings  2.16 (5)
11558171.png,           Happy  3.07 (1),Facial Expression  2.05 (2),         emotion  1.43 (3),         website  1.41 (4),      sunglasses  0.73 (5)
597618820.png,Facial Expression 16.78 (1),           indri 10.17 (2),          dugong  1.94 (3),           Happy  1.91 (4),         emotion  1.56 (5)
443679512.png,           Happy  6.59 (1),         website  2.04 (2),      bridegroom  1.64 (3),Facial Expression  1.59 (4),Greater Swiss Mountain Dog  1.04 (5)
188055684.png,           Happy  6.49 (1),Facial Expression  4.53 (2),         emotion  2.07 (3),      sunglasses  1.54 (4),      sunglasses  1.54 (5)
705949858.png,           Happy  6.83 (1),Facial Expression  5.08 (2),      hair spray  2.55 (3),        hair wig  2.47 (4), Norfolk Terrier  2.29 (5)
615243589.png,           Happy  2.45 (1),      bridegroom  1.71 (2),         website  1.37 (3),      bald eagle  1.05 (4),          dugong  1.02 (5)
320277179.png,             jay 22.67 (1),Facial Expression  4.13 (2),           Happy  3.70 (3),        meatloaf  3.07 (4),        hair wig  2.50 (5)
831596703.png,           Happy  5.05 (1),      bridegroom  4.46 (2),'Geoffroy''s spider monkey  2.97 (3)',          bulbul  2.70 (4),           indri  2.62 (5)
381095921.png,         emotion  4.38 (1),         website  3.99 (2),Facial Expression  2.70 (3),             Sad  2.13 (4),         monitor  1.97 (5)
780934318.png,           Happy  2.67 (1),Facial Expression  1.81 (2),         website  1.78 (3),         emotion  1.30 (4),      bridegroom  1.19 (5)
327361224.png,Facial Expression  2.31 (1),         emotion  1.45 (2),         website  1.26 (3),           Angry  1.20 (4),        meatloaf  1.18 (5)
422493424.png,Facial Expression 14.33 (1),           Happy 11.70 (2),         emotion  5.44 (3),             jay  2.87 (4),           Angry  2.03 (5)
221039479.png,      bridegroom  5.80 (1),           Happy  3.52 (2),Facial Expression  3.36 (3),         website  3.31 (4),      Dutch oven  1.88 (5)
534894627.png,Facial Expression  7.59 (1),          bulbul  5.13 (2),           Happy  3.16 (3),         emotion  3.11 (4),         website  2.28 (5)
414476050.png,Facial Expression 17.48 (1),           Happy  7.06 (2),         emotion  3.84 (3),          maraca  3.23 (4),     face powder  1.90 (5)
878487187.png,Facial Expression  3.19 (1),         website  1.99 (2),     white stork  1.39 (3),         emotion  1.33 (4),      cowboy hat  0.91 (5)
712439162.png,     coffeemaker  2.27 (1),         website  1.88 (2),Facial Expression  1.74 (3),           Happy  1.71 (4),          sarong  1.42 (5)
432642396.png,     Windsor tie 13.76 (1),            newt 10.06 (2),          weasel  3.22 (3),         bow tie  2.62 (4),           Happy  2.43 (5)
875790532.png,   baby pacifier 13.80 (1),        baby bib  9.79 (2),Facial Expression  7.75 (3),         emotion  3.60 (4),           Happy  3.55 (5)
757673713.png,      bridegroom  4.83 (1),           Happy  2.46 (2),     green mamba  2.32 (3),Facial Expression  1.72 (4),         website  1.62 (5)
870060830.png,      shower cap  8.88 (1),     poke bonnet  5.73 (2),      bath towel  5.30 (3),         emotion  4.07 (4),        feelings  3.12 (5)
520891466.png,           Happy 23.91 (1),Facial Expression 13.41 (2),         emotion  4.86 (3),   howler monkey  3.72 (4),           indri  2.81 (5)
166875758.png,Facial Expression 11.76 (1),           Happy  2.71 (2),         emotion  2.39 (3),        Surprise  1.00 (4),           Angry  1.00 (5)
980054281.png,Facial Expression  8.02 (1),           Happy  7.65 (2),         emotion  6.34 (3),           Angry  4.09 (4),        baby bib  2.06 (5)
500656750.png,Facial Expression 14.11 (1),           Angry  5.79 (2),         emotion  3.57 (3),      bridegroom  3.41 (4),             jay  2.78 (5)
473621108.png,Facial Expression  6.60 (1),         emotion  3.12 (2),           Happy  2.18 (3),         jacamar  1.41 (4),         website  1.26 (5)
733544197.png,        lipstick 12.08 (1),Facial Expression 10.66 (2),     face powder  3.41 (3),         emotion  2.03 (4),             bra  1.80 (5)
121426572.png,         website  4.11 (1),           Happy  3.25 (2),Facial Expression  2.74 (3),         jacamar  1.29 (4),         emotion  1.18 (5)
327144237.png,           Happy  5.61 (1),Facial Expression  3.68 (2),         emotion  1.82 (3),      steel drum  1.56 (4),     titi monkey  1.40 (5)
522742991.png,Facial Expression  9.28 (1),         emotion  5.62 (2),      bridegroom  2.58 (3),             Sad  1.88 (4),        consomme  1.74 (5)
649808021.png,        baby bib 19.84 (1),   baby pacifier 16.20 (2),           Happy  6.65 (3),        bassinet  4.79 (4),Facial Expression  3.34 (5)
109264418.png,         website  1.27 (1),    acorn squash  0.99 (2),American bullfrog  0.96 (3),           Happy  0.93 (4),          cougar  0.87 (5)
399498137.png,         emotion  2.18 (1),Facial Expression  1.78 (2),           Happy  1.50 (3),      bridegroom  1.34 (4),      steel drum  1.34 (5)
918733065.png,           Happy  3.88 (1),   Japanese Chin  1.92 (2),         emotion  1.78 (3),         website  1.72 (4),            tick  0.75 (5)
