00000894.jpg,          valley 31.22 (1),        mountain 15.22 (2),   mountain bike  2.91 (3),      promontory  2.12 (4),       lakeshore  1.79 (5)
00000621_(3).jpg,       monastery 18.89 (1),        mountain 14.04 (2),          palace 11.81 (3),          kimono  9.50 (4),   thatched roof  5.16 (5)
00000483_(4).jpg,           beach 30.39 (1),         sandbar 21.22 (2),      promontory  3.99 (3), Groenendael dog  2.53 (4),  Border Terrier  2.53 (5)
00000219_(2).jpg,           beach 79.31 (1),           cliff  4.34 (2),      promontory  3.95 (3),kite (bird of prey)  1.41 (4),       lakeshore  1.39 (5)
00000544_(4).jpg,         sandbar 43.50 (1),       lakeshore 15.76 (2),           canoe  7.11 (3),           beach  5.04 (4),       catamaran  3.01 (5)
00000381_(3).jpg,             ski 37.12 (1),          valley 21.83 (2),balaclava ski mask 17.55 (3),        mountain  6.45 (4),      promontory  1.91 (5)
00000281_(3).jpg,       boathouse 19.97 (1),        mountain 11.20 (2),         volcano 10.36 (3),      promontory  5.63 (4),            barn  4.46 (5)
00000149_(3).jpg,          valley 50.59 (1),        mountain 26.25 (2),     Alpine ibex  1.87 (3),          marmot  1.84 (4),             ski  1.55 (5)
00000111_(5).jpg,          valley 17.22 (1),             dam  9.98 (2),       lakeshore  9.52 (3),        mountain  8.95 (4),        platypus  4.86 (5)
00000123_(4).jpg,           beach 30.89 (1),     scuba diver 10.35 (2),         snorkel  9.57 (3),         sandbar  8.19 (4),       lakeshore  4.32 (5)
00000131_(4).jpg,           beach 79.81 (1),         sandbar  5.52 (2),      promontory  3.34 (3),       lakeshore  2.41 (4),          valley  0.78 (5)
00000282_(5).jpg,          geyser 20.88 (1),             dam 14.80 (2),          valley  8.98 (3),         sandbar  6.78 (4),         snorkel  4.45 (5)
00000668_(2).jpg,             ski 22.41 (1),          valley 13.59 (2),      promontory  7.98 (3),        mountain  6.94 (4),            yurt  5.07 (5)
00000484_(2).jpg,          valley 57.47 (1),             dam  6.45 (2),        mountain  5.60 (3),     Alpine ibex  3.45 (4),      promontory  3.14 (5)
00000367_(6).jpg,         volcano 64.56 (1),        mountain 20.00 (2),European polecat  1.26 (3),      promontory  1.06 (4),             ski  1.06 (5)
00000524_(5).jpg,        fountain 28.83 (1),             dam 26.27 (2),          geyser 10.28 (3),          valley  2.03 (4),           cliff  1.99 (5)
00000075_(4).jpg,          valley 30.33 (1),  cliff dwelling 14.10 (2),        mountain 13.67 (3),      promontory  8.41 (4),           cliff  5.35 (5)
00000307_(5).jpg,            dock 49.09 (1),            pier 30.25 (2),         snorkel  5.68 (3),       catamaran  3.55 (4),         sandbar  2.12 (5)
00000371_(5).jpg,       albatross  6.46 (1),        rapeseed  5.20 (2),   oystercatcher  3.20 (3),       dowitcher  3.20 (4),kite (bird of prey)  2.61 (5)
00000292_(4).jpg,           beach 21.34 (1),      promontory 10.25 (2),       shipwreck  4.21 (3),     ocean liner  4.07 (4),      breakwater  3.89 (5)
00000371_(4).jpg,           beach 44.94 (1),      breakwater 17.88 (2),       lakeshore 13.70 (3),         sandbar  6.78 (4),      promontory  2.78 (5)
00000120_(5).jpg,       lakeshore 20.23 (1),         sandbar 15.53 (2),             dam  6.68 (3),          valley  3.80 (4),   silver salmon  2.92 (5)
00000819.jpg,          valley  9.89 (1),      hartebeest  6.80 (2),         volcano  6.09 (3),        mountain  5.38 (4),             hay  4.67 (5)
00000340_(4).jpg,           beach 53.47 (1),         sandbar  7.01 (2),      breakwater  6.29 (3),      promontory  6.19 (4),       lakeshore  2.04 (5)
00000476_(5).jpg,          palace 18.59 (1),        mountain 10.76 (2),      bell tower 10.43 (3),          castle  7.40 (4),            dome  4.08 (5)
00000294_(6).jpg,            maze 62.41 (1),          valley 24.42 (2),             dam  1.88 (3),        mountain  1.42 (4),      promontory  1.01 (5)
00000655_(3).jpg,           cliff 68.62 (1),      promontory 21.59 (2),        mountain  2.38 (3),          valley  1.32 (4),         volcano  0.85 (5)
00000382_(3).jpg,          valley 47.16 (1),        mountain  8.07 (2),             hay  6.79 (3),split-rail fence  3.31 (4),      promontory  1.77 (5)
00000197_(3).jpg,        mountain 42.03 (1),       lakeshore 25.88 (2),          valley  8.27 (3),           cliff  2.41 (4),         volcano  2.19 (5)
00000419_(3).jpg,         sandbar  6.68 (1),          poncho  5.45 (2),        unicycle  5.12 (3),       parachute  4.05 (4),             dam  3.80 (5)
00000058_(2).jpg,      lighthouse 35.22 (1),      promontory 13.37 (2),      breakwater 11.08 (3),           cliff  7.38 (4),          poncho  2.85 (5)
00000473_(5).jpg,             dam 19.81 (1),          valley  7.64 (2),        fountain  4.22 (3),          geyser  3.44 (4),      stone wall  2.90 (5)
00000086_(2).jpg,      breakwater 23.16 (1),           beach 17.48 (2),           cliff  9.96 (3),      promontory  7.40 (4),      coral reef  5.86 (5)
00000209.jpg,      breakwater 81.12 (1),       lakeshore  7.20 (2),            pier  1.68 (3),           beach  1.66 (4),          mitten  1.18 (5)
00000063_(2).jpg,           cliff 12.14 (1),           beach 11.41 (2),       lakeshore 10.23 (3),      grey whale  6.40 (4),      promontory  4.75 (5)
00000869_(2).jpg,        mountain 38.94 (1),          valley 24.75 (2),      promontory  3.85 (3),           cliff  2.65 (4),         volcano  2.27 (5)
00000431_(5).jpg,         volcano 59.19 (1),        mountain 33.72 (2),      promontory  0.75 (3),             dam  0.54 (4),           stupa  0.51 (5)
00000117_(2).jpg,      breakwater 30.56 (1),           beach 29.17 (2),       lakeshore  7.61 (3),       shipwreck  4.20 (4),      promontory  3.32 (5)
00000531.jpg,        rapeseed 79.06 (1),        megalith  4.00 (2), Groenendael dog  1.45 (3),             hay  1.01 (4),          valley  0.89 (5)
00000893_(2).jpg,          valley 37.62 (1),        mountain 17.22 (2),             hay  7.53 (3),      promontory  6.34 (4), radio telescope  2.99 (5)
00000174_(6).jpg,       dragonfly 55.19 (1),       damselfly 37.94 (2),             fly  2.35 (3),     grasshopper  0.42 (4),             ant  0.37 (5)
00000481_(4).jpg,        fountain 11.70 (1),         jacamar 11.34 (2),          geyser  6.77 (3),             dam  5.36 (4),           swing  4.04 (5)
00000371.jpg,           bison  8.53 (1),  prairie grouse  4.43 (2),          valley  4.29 (3),      paintbrush  3.91 (4),        mountain  3.85 (5)
00000357_(5).jpg,          valley 37.22 (1),         volcano  9.41 (2),      promontory  5.98 (3),         sandbar  5.71 (4), radio telescope  4.66 (5)
00000477_(4).jpg,           beach 15.19 (1),         sandbar  5.59 (2),      promontory  5.25 (3),       lakeshore  4.93 (4),      paintbrush  3.96 (5)
00000140_(2).jpg,           beach 81.62 (1),         Maltese  6.49 (2),      breakwater  1.45 (3),      promontory  1.00 (4),       catamaran  0.79 (5)
00000542_(5).jpg,        mountain  8.50 (1),             ski  5.32 (2),        rapeseed  3.43 (3),        rose hip  3.28 (4),         volcano  3.08 (5)
00000055_(5).jpg,      promontory 15.05 (1),         sandbar 10.02 (2),      coral reef  8.58 (3),         volcano  8.05 (4),           cliff  5.71 (5)
00000759_(3).jpg,       lakeshore 11.06 (1),          palace  6.30 (2),             dam  5.74 (3),           swing  4.76 (4),            dock  3.48 (5)
00000521.jpg,          geyser 48.38 (1),          valley 11.85 (2),             hay  4.71 (3),             dam  2.12 (4),         sawmill  1.74 (5)
00000253_(6).jpg,        fountain 20.41 (1),      stone wall 14.26 (2),           patio  9.50 (3),through arch bridge  3.49 (4),           swing  2.85 (5)
00000429_(5).jpg,             dam 34.72 (1),        fountain  9.20 (2),          valley  8.91 (3),      stone wall  4.77 (4),          geyser  3.38 (5)
00000211_(3).jpg,          valley 69.06 (1),        mountain  7.39 (2),       monastery  5.41 (3),         volcano  5.00 (4),      promontory  1.73 (5)
